SEGRADES,success_binary,engagement_count,SCCHOICE,SPUBCHOIX,EDCPUB,homework_intensity,school_involvement,communication_index,enrichment_count,FHHELP,FHCHECKX,FSVOL,FSPTMTNG,FSMTNG,TTLHHINC,PARGRADEX,CSEX,ALLGRADEX,NUMSIBSX,child_age,SEENJOY,HDHEALTH
1,1,3,1,1,1,3.3333333333333335,1.75,1,6,2,4,2,2,1,7,5,1,14,0,18,1,1
1,1,4,1,1,1,3.3333333333333335,1.5,1,3,5,3,2,1,1,8,5,1,13,1,17,2,1
2,1,5,1,1,1,3.3333333333333335,1.75,1.3333333333333333,4,3,4,2,2,1,2,1,2,5,0,9,1,2
1,1,2,1,3,1,3.3333333333333335,1.75,1.3333333333333333,0,2,4,2,2,1,8,5,1,12,0,16,2,1
2,1,3,1,3,1,3,1.75,1,2,3,3,2,2,1,1,2,1,11,2,14,1,4
2,1,4,1,1,1,2.3333333333333335,1.75,1.6666666666666667,2,1,4,2,2,1,6,3,1,13,0,17,2,3
5,NA,7,1,2,1,1.3333333333333333,1,1.3333333333333333,3,NA,NA,1,1,1,5,3,1,6,1,9,2,2
2,1,7,1,2,1,3.3333333333333335,1,1.6666666666666667,6,3,4,1,1,1,8,4,2,7,1,10,3,1
1,1,7,1,1,1,2.6666666666666665,1,1,4,1,3,1,1,1,9,5,2,7,1,10,1,1
1,1,1,1,2,1,3.3333333333333335,2,1,0,5,3,2,2,2,2,3,1,11,1,14,2,1
1,1,2,1,1,1,4,1.75,1,0,5,3,2,2,1,5,2,1,15,0,19,4,1
1,1,4,1,1,1,2.3333333333333335,1.5,1.3333333333333333,6,1,3,1,2,1,7,4,2,12,1,16,1,1
5,NA,7,1,3,2,1.3333333333333333,1,1,5,NA,NA,1,1,1,12,5,2,5,0,8,1,1
1,1,5,2,2,1,4,1.5,1.3333333333333333,7,4,4,2,1,1,10,5,1,7,1,10,1,1
1,1,1,1,1,1,1.3333333333333333,2,1.3333333333333333,1,1,2,2,2,2,10,3,1,10,2,14,2,3
1,1,5,2,2,2,1,1.25,1.3333333333333333,3,NA,NA,1,1,1,5,5,1,8,2,11,2,1
1,1,5,1,2,1,2.3333333333333335,1.5,1.6666666666666667,4,1,4,1,2,1,10,5,2,10,3,13,2,2
1,1,4,1,1,1,3.3333333333333335,1.75,1.6666666666666667,5,5,3,2,2,1,9,3,2,13,0,16,2,2
2,1,2,1,3,1,3.6666666666666665,1.75,1,2,5,3,2,2,1,8,2,1,14,1,18,2,3
2,1,8,1,2,2,2.3333333333333335,1,1.6666666666666667,2,1,2,1,1,1,11,4,1,15,1,18,1,1
2,1,5,1,1,1,3,1.5,1.3333333333333333,6,2,4,1,2,1,5,2,2,8,1,12,2,1
3,0,2,1,3,1,2.6666666666666665,2,1,2,2,4,2,2,2,11,1,1,15,2,18,2,1
1,1,3,2,3,1,1.6666666666666667,1.75,1,2,1,1,2,2,1,4,3,2,14,1,17,1,2
1,1,8,1,1,1,3.6666666666666665,1,1.3333333333333333,2,5,4,1,1,1,10,5,2,15,1,17,1,2
3,0,5,1,1,1,3.6666666666666665,1.5,1,2,3,4,2,1,1,9,4,1,10,0,13,3,1
1,1,3,2,3,1,3.3333333333333335,1.5,1.3333333333333333,3,5,2,2,1,1,7,3,1,15,2,18,1,1
1,1,7,1,2,1,1.6666666666666667,1,1,4,1,3,1,1,1,12,5,2,7,1,9,1,1
1,1,5,2,2,1,2,1.5,1.6666666666666667,2,1,2,1,2,1,4,5,1,15,0,18,2,1
2,1,6,1,2,1,2,1.25,1.3333333333333333,2,1,1,1,1,1,7,4,2,15,1,17,1,2
5,NA,3,2,3,2,4,1.75,1.3333333333333333,5,4,4,2,1,2,8,4,1,5,0,8,1,2
1,1,7,2,1,1,2.3333333333333335,1.25,1.6666666666666667,3,1,3,1,1,1,10,3,1,14,1,17,2,2
5,NA,8,1,3,1,4,1,1.3333333333333333,5,4,4,1,1,1,10,5,2,2,2,6,2,2
1,1,3,1,1,1,2.6666666666666665,1.75,1.3333333333333333,0,5,1,2,2,1,7,3,2,14,0,17,1,1
2,1,4,2,2,1,3,1.5,1,7,1,4,2,1,1,2,3,2,6,2,9,1,2
1,1,4,2,1,1,2.6666666666666665,1.5,1.3333333333333333,4,2,3,1,1,2,9,1,2,15,1,18,2,3
5,NA,6,1,3,1,3.3333333333333335,1.5,1,5,3,3,1,2,1,8,5,2,5,1,8,1,1
2,1,2,1,3,1,3.6666666666666665,1.75,1,3,5,4,2,1,2,1,1,2,14,2,17,2,2
1,1,3,1,1,1,1.6666666666666667,1.75,1,4,1,2,2,2,1,8,3,2,9,2,12,1,1
1,1,5,1,1,1,2.3333333333333335,1.25,1.6666666666666667,4,1,3,1,2,1,9,4,1,15,1,18,1,1
2,1,7,2,2,1,3.3333333333333335,1,1,5,3,4,1,1,1,8,5,1,7,1,10,2,2
1,1,3,2,2,1,1.3333333333333333,1.75,1,5,NA,NA,2,2,1,3,2,2,8,1,12,1,3
1,1,0,1,1,1,3.3333333333333335,NA,1,4,3,4,NA,NA,NA,9,3,2,11,0,14,1,1
1,1,7,2,2,1,2.6666666666666665,1.25,2,4,1,4,1,1,1,9,5,1,12,2,15,1,2
1,1,4,1,1,1,3.6666666666666665,1.75,1,1,5,3,2,1,2,4,3,2,14,2,17,1,1
1,1,3,1,1,1,3,1.75,1.3333333333333333,1,5,1,2,2,1,12,4,1,13,0,17,2,1
2,1,4,2,2,1,1.6666666666666667,1.75,1.3333333333333333,4,1,3,2,2,1,9,5,1,12,0,16,2,1
1,1,7,1,2,1,1.3333333333333333,1,1.3333333333333333,4,NA,NA,1,1,1,8,3,1,8,0,11,1,1
5,NA,2,1,1,2,2,2,1.3333333333333333,3,1,3,2,2,2,7,3,2,6,1,9,1,2
2,1,0,1,2,1,2.3333333333333335,2,2.3333333333333335,3,1,3,2,2,2,9,4,1,15,3,17,2,2
5,NA,6,2,3,1,3.3333333333333335,1.25,1,7,3,4,1,1,1,10,5,2,6,1,9,1,1
3,0,3,2,2,1,1,1.75,2,3,NA,NA,2,2,1,8,3,1,11,0,14,3,3
1,1,6,2,3,1,3.3333333333333335,1.25,1,1,3,4,1,1,1,8,5,2,5,1,9,1,2
2,1,5,1,3,1,3,1.5,2,2,1,4,1,2,1,8,3,1,7,1,10,2,4
2,1,7,1,2,1,3,1,1.6666666666666667,4,2,4,1,1,1,12,5,2,7,1,10,2,1
2,1,5,2,2,1,2.6666666666666665,1.5,1.3333333333333333,2,1,4,2,1,1,5,3,2,15,1,18,2,2
1,1,4,2,3,1,3.3333333333333335,1.75,1.6666666666666667,5,3,4,2,2,1,6,3,2,5,5,8,1,1
2,1,0,1,2,1,2.6666666666666665,2,1,2,5,1,2,2,2,11,5,2,15,1,18,3,1
3,0,6,2,3,1,2.3333333333333335,1.25,3,0,1,4,1,1,1,6,3,1,15,2,19,4,2
1,1,4,2,2,1,3,1.5,1,4,2,4,2,1,1,4,3,1,12,0,16,1,1
1,1,8,1,3,2,4,1,1,6,4,4,1,1,1,10,4,1,6,1,8,1,1
1,1,2,1,2,2,3.3333333333333335,1.75,1.3333333333333333,4,3,4,2,2,1,1,3,2,2,0,6,1,2
5,NA,7,1,3,2,1.3333333333333333,1,1,6,NA,NA,1,1,1,8,5,1,4,1,7,1,1
2,1,5,1,1,1,2.6666666666666665,1.5,1.6666666666666667,6,2,4,1,2,1,10,5,2,6,0,9,2,2
5,NA,6,1,3,1,2.6666666666666665,1.25,1,7,2,4,1,1,1,6,3,2,2,3,7,1,1
2,1,5,2,1,1,2,1.5,1.3333333333333333,2,1,3,2,1,1,9,3,1,14,1,17,2,3
1,1,4,1,1,1,3.3333333333333335,1.5,1.3333333333333333,4,2,4,2,1,1,5,3,2,14,0,17,2,1
2,1,1,2,2,1,2.6666666666666665,2,2.3333333333333335,1,2,3,2,2,2,9,3,2,15,0,18,2,2
1,1,5,2,2,1,3.6666666666666665,1.5,2,1,5,4,2,1,1,9,4,1,14,3,18,2,3
1,1,2,2,2,1,2.6666666666666665,1.75,2.3333333333333335,1,1,3,2,2,1,2,2,2,13,0,16,3,2
1,1,5,1,1,1,2.6666666666666665,1.25,1.3333333333333333,3,1,3,1,1,1,9,5,2,13,1,16,2,1
1,1,5,1,1,1,2.3333333333333335,1.25,1.3333333333333333,6,1,3,1,1,1,12,5,1,8,0,11,2,1
2,1,6,2,2,1,3.3333333333333335,1.25,2.3333333333333335,4,3,4,1,1,1,3,3,1,11,0,14,3,1
1,1,5,1,1,1,3.3333333333333335,1.5,1.3333333333333333,2,5,1,2,1,1,12,5,1,13,1,16,2,1
1,1,5,1,1,1,1.6666666666666667,1.5,2,4,1,3,2,1,1,6,3,2,10,1,13,1,2
2,1,7,1,2,1,3,1,1,4,1,4,1,1,1,12,5,2,12,2,15,1,1
5,NA,4,1,3,1,1.3333333333333333,1.5,1.6666666666666667,5,NA,NA,1,2,1,6,3,1,2,0,6,2,2
2,1,3,1,1,1,2,1.75,1.6666666666666667,3,1,3,1,2,2,8,4,1,13,2,17,2,2
2,1,1,1,1,1,3,2,1.3333333333333333,2,2,4,2,2,2,5,2,2,12,0,13,2,3
2,1,6,1,3,1,2,1.5,1.3333333333333333,5,1,3,2,1,1,3,2,1,11,2,15,2,1
2,1,5,1,1,2,2.6666666666666665,1.5,2,2,2,3,2,1,1,9,4,2,10,2,13,2,2
2,1,5,1,3,1,4,1.5,1.6666666666666667,5,4,4,1,2,1,9,4,2,6,1,9,2,2
2,1,5,1,1,1,3,1.5,1.6666666666666667,4,2,4,1,2,1,8,4,1,10,1,14,2,1
1,1,2,1,2,1,2.6666666666666665,1.75,1.6666666666666667,3,2,2,2,2,1,10,5,2,11,1,15,2,1
3,0,4,2,1,1,2,1.75,1.6666666666666667,2,1,3,2,2,1,9,5,1,11,2,15,3,1
2,1,5,1,3,1,4,1.5,1,4,4,4,1,2,1,7,3,1,6,1,9,2,1
1,1,3,2,3,1,1.3333333333333333,1.75,1.3333333333333333,5,NA,NA,2,2,1,3,2,1,11,1,13,1,1
1,1,7,1,3,2,3.3333333333333335,1,1.3333333333333333,5,2,4,1,1,1,12,5,1,7,0,10,1,1
2,1,3,2,2,1,1.6666666666666667,1.75,1.3333333333333333,2,1,3,2,2,1,7,4,1,12,1,15,2,2
1,1,3,1,3,2,2,1.5,1,2,1,2,1,2,1,9,5,1,12,1,16,1,2
1,1,5,2,2,1,2.6666666666666665,1.25,1.3333333333333333,2,1,3,1,1,1,12,5,2,11,1,14,1,1
1,1,2,2,2,1,2.6666666666666665,1.75,2,4,1,4,2,2,1,10,5,2,10,1,13,2,3
2,1,2,1,1,1,2.6666666666666665,1.75,1,4,1,4,2,2,1,8,4,2,11,2,14,2,1
1,1,5,1,1,1,3.6666666666666665,1.5,1,5,3,4,2,1,1,1,1,1,8,3,10,1,2
2,1,7,2,1,1,1,1.25,2.6666666666666665,5,NA,NA,1,1,1,10,3,1,12,0,15,1,2
2,1,8,1,2,1,2.6666666666666665,1,1,1,1,4,1,1,1,9,5,2,14,1,17,1,4
1,1,8,2,3,2,2.6666666666666665,1,1.6666666666666667,5,1,3,1,1,1,9,4,2,13,2,17,2,2
1,1,2,1,1,1,4,2,1.3333333333333333,5,5,4,2,2,2,9,3,1,12,1,15,2,1
1,1,4,1,1,1,2,1.75,1,2,1,4,2,2,1,4,4,1,6,0,9,2,1
1,1,7,2,2,1,2.6666666666666665,1.25,1,5,2,4,1,1,1,8,5,2,10,1,12,1,1
1,1,3,1,1,1,2.6666666666666665,1.75,1,4,1,3,2,2,1,7,3,2,14,1,17,2,1
2,1,4,1,1,1,3,1.75,1.3333333333333333,2,2,4,2,1,2,6,3,2,10,2,13,1,2
1,1,5,1,2,2,2.6666666666666665,1.25,1,5,2,3,1,1,1,10,5,1,8,1,11,1,1
1,1,5,2,1,1,4,1.5,1,5,4,4,1,2,1,7,2,2,2,0,6,1,1
1,1,6,1,3,1,1.6666666666666667,1.5,1.3333333333333333,3,1,3,2,1,1,8,3,2,14,1,17,1,1
3,0,3,1,1,1,3.6666666666666665,1.5,1.6666666666666667,1,5,3,1,2,1,1,1,2,15,0,19,3,2
1,1,7,1,2,1,3.3333333333333335,1.25,1.3333333333333333,6,5,4,1,1,1,6,3,2,9,1,12,2,1
4,0,7,2,1,1,2,1.25,3,5,1,4,1,1,1,1,2,1,12,1,15,3,2
5,NA,5,1,2,1,4,1.5,1,7,4,4,2,1,1,10,5,1,6,1,9,1,1
3,0,4,1,3,1,4,1.75,1,6,4,4,2,2,1,7,4,1,5,0,8,2,3
1,1,3,1,2,1,3.3333333333333335,1.75,1.3333333333333333,4,3,4,2,2,1,9,4,2,7,1,10,2,1
2,1,2,2,3,1,1.3333333333333333,1.75,1.6666666666666667,3,NA,NA,2,1,2,7,3,2,7,0,11,2,1
5,NA,6,1,1,1,3.3333333333333335,1.25,1,3,3,4,1,1,1,6,1,2,5,1,10,2,1
5,NA,5,2,1,1,1,1.5,2.6666666666666665,2,NA,NA,2,1,1,1,3,1,9,2,12,1,1
1,1,3,1,1,1,3,1.75,1.3333333333333333,3,2,3,2,2,1,7,2,1,9,0,12,2,2
4,0,3,2,3,1,3,1.75,1.6666666666666667,3,2,4,2,2,1,3,3,2,7,2,10,2,2
2,1,3,1,1,1,2.6666666666666665,1.75,1,5,2,4,2,2,1,8,5,2,10,1,14,2,2
2,1,4,1,1,1,3.6666666666666665,1.75,1,4,3,4,2,2,1,6,4,1,8,2,12,2,2
1,1,2,1,1,1,2.6666666666666665,1.75,2,0,1,4,2,2,1,7,4,2,12,1,15,3,2
1,1,5,1,3,1,2.6666666666666665,1.5,1,3,2,4,2,1,1,12,3,1,9,3,13,2,1
1,1,3,1,1,1,3.3333333333333335,1.75,1.3333333333333333,2,2,4,2,2,1,4,3,1,12,0,15,2,1
2,1,5,1,3,1,3.6666666666666665,1.75,1.6666666666666667,3,3,4,2,2,1,9,3,1,10,1,15,2,2
5,NA,5,1,1,1,3,1.5,2.3333333333333335,5,2,4,2,1,1,1,2,2,2,0,7,2,2
3,0,4,1,2,1,1.6666666666666667,1.75,1.6666666666666667,1,1,3,2,2,1,5,3,2,12,0,15,2,3
2,1,2,2,3,1,2,1.75,1,1,1,4,2,2,1,1,3,2,9,2,12,2,2
1,1,2,1,1,1,3.6666666666666665,1.75,1.3333333333333333,1,5,2,2,2,1,1,1,1,13,1,16,1,3
2,1,8,1,2,2,2.3333333333333335,1,1,3,1,3,1,1,1,8,2,1,14,0,18,2,2
2,1,4,1,3,1,1.3333333333333333,1.5,1.6666666666666667,3,NA,NA,1,2,1,9,2,1,4,0,8,2,2
2,1,2,2,1,1,2.6666666666666665,1.75,1.3333333333333333,0,2,3,2,2,1,4,1,1,6,3,9,2,3
1,1,3,2,3,1,3.3333333333333335,2,1.3333333333333333,3,3,4,2,2,2,1,3,1,4,2,8,2,2
2,1,8,1,3,2,2.3333333333333335,1,1,4,1,3,1,1,1,10,5,2,13,1,17,1,1
2,1,3,2,2,1,2.3333333333333335,1.75,1.6666666666666667,5,2,3,2,2,1,10,4,1,11,1,14,3,1
5,NA,2,1,2,1,2.3333333333333335,1.75,1.6666666666666667,5,2,3,2,2,1,9,5,2,5,1,8,1,1
1,1,5,1,1,1,3.3333333333333335,1.5,1.6666666666666667,2,5,1,1,2,1,9,4,1,15,1,18,1,1
3,0,3,2,2,1,3.3333333333333335,1.75,1.6666666666666667,4,5,3,2,2,1,6,4,1,10,1,13,2,1
2,1,4,1,1,1,3.3333333333333335,1.5,1.3333333333333333,4,4,3,1,2,1,8,4,1,14,2,17,2,2
4,0,4,2,1,1,4,1.5,3.3333333333333335,6,4,4,2,1,1,2,4,2,13,1,16,4,2
4,0,2,1,1,1,2.3333333333333335,1.75,2,6,2,3,2,2,1,7,2,2,14,2,18,4,3
1,1,5,1,1,1,4,1.5,1,5,4,4,1,2,1,9,5,2,4,1,7,1,1
5,NA,7,1,3,1,2.6666666666666665,1,1.3333333333333333,4,2,3,1,1,1,10,5,2,7,1,10,1,2
1,1,3,2,2,1,3,1.75,1.3333333333333333,2,2,4,2,2,1,9,4,2,12,1,15,1,2
1,1,8,1,3,1,2.3333333333333335,1,1.3333333333333333,4,1,2,1,1,1,4,5,1,14,1,17,2,1
3,0,1,1,1,1,1,1.75,1.3333333333333333,0,NA,NA,2,2,1,7,2,2,13,3,16,2,1
2,1,5,2,2,1,2.3333333333333335,1.75,1,3,1,3,2,2,1,8,3,1,12,1,15,2,1
1,1,4,1,3,1,2.6666666666666665,1.5,2,5,2,4,2,1,1,6,4,1,9,1,13,2,2
5,NA,6,2,2,1,1.3333333333333333,1.25,1,6,NA,NA,1,1,1,9,5,2,4,0,8,1,1
1,1,0,1,2,1,2.3333333333333335,2,1,0,5,1,2,2,2,6,2,1,15,1,18,2,4
2,1,0,1,1,1,3,2,1.3333333333333333,3,5,2,2,2,2,9,4,1,13,0,16,2,1
2,1,5,1,3,1,2.3333333333333335,1.5,1.3333333333333333,1,1,3,2,1,1,9,3,1,13,1,16,1,1
1,1,2,2,1,1,3.6666666666666665,1.75,1.6666666666666667,2,5,3,2,2,1,10,5,1,12,1,15,2,1
1,1,5,1,1,1,3,1.5,1,5,2,4,1,2,1,9,5,1,7,4,10,2,1
1,1,1,1,2,1,2.3333333333333335,2,2,4,1,4,2,2,2,3,3,2,12,1,15,2,1
2,1,3,2,3,1,1.3333333333333333,1.75,1.3333333333333333,4,1,1,2,1,2,8,4,1,13,1,16,1,3
2,1,4,1,1,1,3.6666666666666665,1.5,1,5,3,4,1,2,1,10,3,1,5,0,9,2,2
2,1,5,1,3,1,3,1.5,1,3,2,3,2,1,1,10,5,1,11,1,14,2,1
1,1,8,1,3,1,3.6666666666666665,1,1.6666666666666667,1,5,2,1,1,1,9,3,2,14,0,18,2,2
1,1,2,2,3,1,2,1.75,2,4,1,4,2,2,1,6,5,2,10,1,14,1,2
3,0,3,2,2,1,3.3333333333333335,1.75,1.6666666666666667,1,5,2,2,2,1,1,3,1,15,1,19,2,1
1,1,3,1,1,1,3.3333333333333335,1.75,1.3333333333333333,3,2,4,2,2,1,12,5,2,13,1,16,2,1
3,0,5,1,2,1,2.6666666666666665,1.5,1,2,2,2,1,2,1,9,4,1,15,1,18,2,1
3,0,5,1,1,1,3.6666666666666665,1.5,1.3333333333333333,1,5,3,1,2,1,4,4,1,15,0,19,2,1
2,1,4,2,1,1,3,1.75,1.6666666666666667,6,2,4,2,2,1,8,4,1,10,0,14,2,1
5,NA,4,1,2,1,2.6666666666666665,1.75,1,1,2,4,2,2,1,12,5,1,7,1,10,1,1
3,0,4,2,3,1,2.3333333333333335,1.75,1,2,1,4,2,2,1,8,2,2,9,0,12,2,1
1,1,6,2,3,1,3.3333333333333335,1.5,2,2,2,4,2,1,1,3,3,2,10,0,14,3,2
4,0,0,1,3,1,1,2,2,3,1,1,2,2,2,5,2,1,13,1,16,2,1
1,1,5,2,2,1,2.6666666666666665,1.5,1.3333333333333333,3,2,4,2,1,1,7,4,2,7,0,10,2,1
2,1,4,1,1,1,2,1.5,1,2,1,3,2,1,1,9,3,2,15,2,18,2,1
1,1,5,2,2,1,2,1.5,1,6,1,4,1,2,1,12,5,2,4,1,8,1,2
1,1,2,2,2,1,2.3333333333333335,1.75,2,1,1,3,2,2,1,6,3,1,15,2,18,2,1
1,1,4,1,1,1,3.3333333333333335,1.5,1,3,3,4,2,1,1,3,4,1,13,1,16,1,2
1,1,6,2,2,1,2,1.25,2,3,2,3,2,1,1,6,3,1,15,0,18,2,1
2,1,6,2,3,1,3,1.25,1.3333333333333333,4,2,4,1,2,1,9,4,2,8,2,11,2,1
2,1,6,1,2,1,3,1.5,1.6666666666666667,5,3,4,2,1,1,7,3,2,9,0,12,2,1
1,1,5,1,1,1,2.6666666666666665,1.5,1,2,1,3,2,1,1,3,1,2,15,3,18,1,2
1,1,5,1,3,2,2.6666666666666665,1.5,1,5,1,3,1,2,1,8,5,1,14,3,18,1,3
1,1,7,1,1,1,3.3333333333333335,1,1,2,5,3,1,1,1,9,3,1,14,0,17,1,1
1,1,5,1,1,1,2.6666666666666665,1.5,1.6666666666666667,4,1,4,2,1,1,10,3,2,11,1,14,1,1
2,1,5,1,1,1,2.6666666666666665,1.5,1.3333333333333333,2,1,3,2,1,1,6,3,1,12,1,15,2,1
1,1,2,1,3,1,2.3333333333333335,1.75,1.6666666666666667,4,2,3,2,2,1,8,3,2,9,2,13,1,1
5,NA,3,1,1,1,1.3333333333333333,1.75,1.6666666666666667,2,NA,NA,2,2,1,9,5,1,6,1,9,3,1
5,NA,3,1,3,1,4,1.75,2,4,4,4,2,2,1,6,3,2,4,3,7,1,1
1,1,5,1,2,2,2.3333333333333335,1.75,1,1,1,2,2,2,1,11,5,1,15,0,19,2,1
1,1,3,1,2,1,3.3333333333333335,1.5,2,4,3,4,2,1,1,1,4,1,2,1,6,2,1
2,1,5,1,3,1,3,1.5,1,5,2,3,2,1,1,9,4,1,13,1,16,2,2
1,1,4,1,1,1,3.3333333333333335,1.75,2.3333333333333335,3,2,4,2,2,1,8,5,2,12,1,15,3,1
5,NA,3,2,2,1,3,1.75,1,3,2,4,2,1,2,4,2,2,8,0,11,2,1
1,1,8,1,2,1,3.3333333333333335,1,1,7,3,4,1,1,1,12,5,2,6,1,9,1,1
1,1,3,2,2,1,3.3333333333333335,1.75,1.3333333333333333,3,2,4,2,2,1,4,5,2,8,1,11,1,1
2,1,5,1,1,1,2.6666666666666665,1.75,1,2,2,4,2,2,1,7,4,2,8,1,12,2,1
1,1,5,1,1,1,1.6666666666666667,1.5,2,1,1,2,1,2,2,8,4,2,14,1,17,2,2
2,1,4,1,2,1,2.6666666666666665,1.5,1,5,2,4,1,1,2,9,4,1,8,0,11,2,1
1,1,7,2,2,1,2.3333333333333335,1.25,1,2,1,3,1,2,1,9,5,1,12,1,16,1,1
2,1,1,2,2,2,2.6666666666666665,2,2,3,2,4,2,2,2,3,2,2,12,1,15,2,2
5,NA,5,1,2,1,2.3333333333333335,1.5,1.6666666666666667,2,2,3,2,1,1,7,3,1,8,1,12,2,2
1,1,6,1,1,1,2.6666666666666665,1.25,1,6,1,3,1,1,1,9,5,2,14,1,17,1,1
1,1,6,1,3,1,3.3333333333333335,1.25,1.3333333333333333,5,3,4,1,1,1,6,2,1,4,1,7,1,1
1,1,4,2,2,1,3.6666666666666665,1.25,1.3333333333333333,7,4,3,1,1,1,3,2,2,14,2,17,1,1
2,1,6,1,1,1,2.3333333333333335,1.25,1.6666666666666667,5,1,3,1,1,1,10,4,2,10,1,13,2,2
1,1,3,1,2,1,2,1.5,2,2,1,4,2,1,1,6,2,2,9,0,12,2,2
2,1,5,1,1,1,4,1.5,1,7,4,4,2,1,1,9,4,2,7,1,11,1,1
2,1,2,1,1,1,3,1.75,2,2,2,4,2,2,1,4,2,1,9,1,12,2,2
2,1,4,1,2,2,3.3333333333333335,1.75,1,0,3,4,2,2,1,12,4,1,7,0,11,2,2
2,1,0,1,1,1,2.3333333333333335,2,2.6666666666666665,2,5,1,2,2,2,2,4,1,14,0,17,2,3
2,1,5,2,1,1,1.6666666666666667,1.5,2,4,1,3,1,2,1,9,5,1,12,1,15,2,1
2,1,4,1,3,1,3.3333333333333335,1.75,1.6666666666666667,7,3,4,2,2,1,1,2,2,9,1,13,1,2
2,1,7,1,1,1,2.6666666666666665,1,1,4,2,4,1,1,1,12,5,1,4,2,8,2,2
2,1,7,1,3,2,2.6666666666666665,1.25,1.6666666666666667,2,2,3,1,1,1,9,3,1,12,1,16,2,2
2,1,3,2,1,1,3,1.75,1.3333333333333333,4,2,4,2,2,1,9,5,2,11,1,14,2,1
2,1,0,1,3,2,1.3333333333333333,NA,1,3,NA,NA,NA,NA,NA,8,4,1,7,2,10,2,2
5,NA,8,1,1,1,2,1,1.3333333333333333,5,1,4,1,1,1,5,3,1,13,0,16,3,4
2,1,4,1,3,1,2.6666666666666665,1.5,1,2,2,3,2,1,1,5,3,1,9,2,13,1,2
1,1,5,2,2,1,4,1.75,2.3333333333333335,4,5,4,2,2,1,3,3,2,14,1,17,1,3
3,0,5,2,3,1,4,1.5,1,5,5,4,2,1,1,6,3,1,13,1,16,2,1
1,1,4,1,1,1,3.6666666666666665,1.5,1.6666666666666667,4,3,4,2,1,1,8,3,2,11,0,14,1,1
5,NA,5,2,2,1,1.3333333333333333,1.5,1.3333333333333333,4,NA,NA,2,1,1,2,2,1,2,2,4,2,2
2,1,4,1,3,2,3.3333333333333335,1.75,1.6666666666666667,6,3,4,2,2,1,2,1,2,7,3,11,1,2
2,1,4,1,2,2,2.6666666666666665,1.75,2.6666666666666665,3,1,4,2,2,1,11,5,1,8,1,11,1,1
1,1,6,1,1,2,1.3333333333333333,1,1,7,NA,NA,1,1,1,10,5,2,11,1,14,1,2
1,1,0,1,1,1,2.6666666666666665,2,1.3333333333333333,1,2,3,2,2,2,8,3,2,14,1,18,2,3
1,1,2,1,1,1,4.333333333333333,1.75,1.6666666666666667,1,5,4,2,2,1,7,2,2,10,0,14,1,1
1,1,5,1,3,1,4,1.5,1,6,4,4,2,1,1,9,5,2,2,0,6,1,2
5,NA,6,1,1,1,3.3333333333333335,1.25,1,6,2,4,1,1,1,9,5,2,6,0,9,1,1
1,1,6,2,1,1,3.6666666666666665,1.5,1.6666666666666667,0,5,2,1,2,1,10,4,2,14,2,17,2,2
1,1,6,2,2,1,2.6666666666666665,1.25,1,4,2,4,1,1,1,8,3,1,8,1,12,1,2
1,1,4,2,3,1,2.6666666666666665,1.75,2,4,2,4,1,2,2,8,3,2,5,2,9,1,1
1,1,3,1,1,1,3.3333333333333335,1.75,1,4,2,4,2,2,1,10,5,1,10,1,13,2,1
1,1,5,1,3,2,2,1.5,1,6,2,2,1,2,1,9,5,2,9,1,12,1,2
3,0,4,2,2,1,2.3333333333333335,1.75,1.6666666666666667,2,2,3,2,2,1,7,5,2,11,1,15,2,2
1,1,2,1,1,2,2,1.75,2,0,1,2,2,2,1,5,5,2,15,0,18,1,1
2,1,7,2,3,1,2.6666666666666665,1.25,1,3,1,3,1,2,1,8,5,1,14,1,17,1,1
1,1,1,1,1,1,3,2,1.6666666666666667,2,5,1,2,2,2,5,4,2,15,1,19,2,3
2,1,5,1,1,1,2.3333333333333335,1.75,1.6666666666666667,2,1,3,2,2,1,9,4,1,14,2,18,3,2
3,0,3,2,2,1,3,1.75,1.6666666666666667,3,3,4,2,2,1,1,2,2,7,2,10,2,4
1,1,6,1,2,1,2.6666666666666665,1.25,1,0,2,3,1,1,1,9,5,2,6,1,9,1,3
1,1,1,1,3,1,3.6666666666666665,2,2.3333333333333335,0,5,2,2,2,2,9,5,2,14,1,17,2,2
1,1,0,1,3,1,3.3333333333333335,2,1,4,5,1,2,2,2,9,5,1,14,0,18,1,1
2,1,1,1,1,1,2.3333333333333335,2,2,3,1,4,2,2,2,8,4,1,11,0,15,3,2
2,1,5,1,1,1,2.3333333333333335,1.5,1.6666666666666667,3,2,3,1,2,1,6,2,1,9,1,13,2,1
5,NA,4,2,2,1,1,1.5,1.3333333333333333,5,NA,NA,2,1,1,3,3,1,4,3,8,1,2
5,NA,5,1,3,2,2.6666666666666665,1.5,1,3,2,3,2,1,1,9,2,2,9,0,13,2,1
1,1,6,1,3,1,3.3333333333333335,1.5,1,6,3,4,2,1,1,6,1,1,8,0,13,1,1
1,1,5,1,1,1,4,1.25,1,2,5,4,1,1,1,11,5,1,11,1,15,1,1
1,1,6,2,2,1,3.3333333333333335,1.5,1.3333333333333333,2,5,1,1,2,1,12,5,2,14,2,17,2,1
1,1,7,1,1,1,2.6666666666666665,1.25,1.3333333333333333,2,2,3,1,1,1,8,5,1,13,1,16,2,1
1,1,4,2,2,1,3.3333333333333335,1.75,1,2,2,4,2,2,1,12,5,2,12,2,15,2,1
